Title/Subtitle,Checkouts - Local Patrons,Checkouts - Visiting Patrons
Henry and Mudge in the sparkle days : the fifth book of their adventures,26,3
Henry and Mudge take the big test : the tenth book of their adventures,16,0
Henry and Mudge : the first book of their adventures,6,0
Henry and Mudge : the first book of their adventures,7,0
Henry and Mudge under the yellow moon : the fourth book of their adventures,9,0
Henry and Ribsy,2,0
Henry and the clubhouse,0,0
Henry climbs a mountain,4,0
Henry Ford,3,0
Henry Hudson,0,0
Henry Hudson,0,0
Henry Huggins,6,0
Henry & the Buccaneer Bunnies,9,0
Henry the sailor cat,0,0
Henry y Mudge : el primer libro de sus aventuras,4,0
Henry's baby,0,0
Henry's freedom box,8,0
"Hensel and Gretel, ninja chicks",1,0
"Her Majesty, Aunt Essie",0,0
Her right foot,2,0
Here comes Holi : the festival of colors,1,1
Here comes Mother Goose,1,0
Here comes the strikeout,21,1
Here comes tricky rabbit,5,0
Here comes winter,20,0
Here I am,0,0
"""Here I am!"" said Smedley",15,0
Here is the Arctic winter,4,0
Here is the southwestern desert,0,0
Here is the tropical rain forest,3,1
Here lies the librarian,1,0
Here today,0,0
Here we all are,0,0
Here we are : notes for living on planet Earth,14,1
La heredera perdida,4,3
Hermanas,65,7
La Hermanita de Froggy,48,2
"La hermanita de las niñeras. 4, El Club de los Gatitos de Karen",10,1
Hernan Cortes,0,0
The hero and the crown,0,0
Hero dogs : courageous canines in action,7,0
El héroe perdido,2,1
Heroes of the Revolution,1,0
Heroes on the side,30,0
The heroine of the Titanic : a tale both true and otherwise of the life of Molly Brown,2,0
Heroines of the American Revolution : America's founding mothers,1,0
Hershel and the Hanukkah goblins,0,0
The Hershey's Kisses subtraction book,2,0
The Hershey's Milk Chocolate Fractions Book.,6,0
Herstory : women who changed the world,0,0
Hexagons,0,0
"Hey, hay : a wagonful of funny homonym riddles",0,0
"Hey kid, want to buy a bridge",1,0
"Hey, Mama Goose",5,0
"Hey, water!",1,0
Hi! Fly Guy,27,1
Hibernación,1,0
Hiccups for Elephant,0,0
Hidden : a child's story of the Holocaust,6,0
Hidden figures : the true story of four black women and the space race,11,1
The Hidden Kingdom,5,0
The hidden kingdom : The graphic novel,23,2
Hidden music : the life of Fanny Mendelssohn,0,0
The hidden oracle,7,0
Hidden spirits : search-and-find scenes from the American west,0,0
The hidden staircase,9,1
The hidden stairs and the magic carpet,23,0
Hidden under the ground : the world beneath your feet,8,0
Hidden walkingsticks,11,0
The hidden witch,18,4
Hidden worlds : looking through a scientist's microscope,1,0
The hide-and-seek ghost,3,0
Hiding from the Nazis,0,0
"Hiedra, a hada verde",25,0
"Hieroglyphs, the writing of ancient Egypt",0,0
High and dry,31,4
The high king,0,0
The High-Rise Private Eyes : the case of the baffled bear,8,0
The High-Rise Private Eyes : the case of the climbing cat,3,0
The High-Rise Private Eyes : the case of the fidgety fox,3,0
The High-Rise Private Eyes : the case of the missing monkey,7,1
The High-Rise Private Eyes : the case of the sleepy sloth,6,0
The High-Rise Private Eyes : the case of the troublesome turtle,7,0
High tide in Hawaii,35,0
High time for heroes,18,0
High wire,8,0
The higher power of Lucky,3,0
The highest mountain of books in the world,2,0
"Highest mountain, smallest star : a pictorial compendium of natural wonders",11,1
Highway cats,0,0
Hilarious hedgehogs,6,0
"Hilde and Eli, children of the Holocaust",1,0
Hillary Clinton,3,0
Hillary Rodham Clinton,1,0
"Hillary Rodham Clinton : primera dama, senadora y secretaria de estado",1,0
"Hilo. Book 2, Saving the whole wide world",16,0
"Hilo. Book 3, The great big boom",17,0
"Hilo. Book 4, Waking the monsters",32,0
"Hilo. Book 5, Then everything went wrong",13,0
"Hilo. Book 6, All the pieces fit",0,0
Hilo: The boy who crashed to Earth,101,0
Himalayan cats,20,1
Himalayas.,2,0
Himeji castle : Japan's samurai past,0,0
Hina and the sea of stars,0,0
Hindu festivals,8,1
Hinduism in Bali,4,0
Hip Cat,7,0
Hipocampos y burbujas,1,0
Hippo in a tutu : dancing in Disney animation,4,0
Hippopotamus hunt,0,0
"The hippopotamus, river horse",3,3
Hippos,1,0
Hippos,4,2
Hippos,6,1
Hippos are huge!,12,0
Hiromi's hands,1,0
Hiroshima,0,0
Hiroshima : a novella,0,0
Una historia,11,1
"La historia atractiva del magnetismo con Max Axiom, supercientífico",15,4
La historia de una colcha,8,1
Historical jokes,24,0
The history and activities of the colonies,2,0
History lab to go! : experiments with the concepts & tools of the history trade.,3,0
The history news : medicine,1,0
The history of the Seattle Mariners,0,0
The history of the Seattle Seahawks,49,1
The History of The tale of Peter Rabbit : taken mainly from Leslie Linder's A history of the writings of Beatrix Potter together with the text and ill,1,0
A history of underwear with Professor Chicken,0,0
HistoryLink's Seattle & King County timeline,1,0
Hit a grand slam,0,0
"Hit the road, Helen!",12,0
Hitler's Reich,6,0
Hitty : her first hundred years,0,0
The hive queen / Book 12,6,1
Hmm? : the most interesting book you'll ever read about memory,6,0
Hoaxed! : fakes & mistakes in the world of science,2,0
Hob and the goblins,1,0
"The hobbit : or, There and back again",7,0
"The Hobbit, or, There and back again",9,0
The Hoboken chicken emergency,0,0
Hockey,3,0
Hocus pocus : a tale of magnificent magicians and their amazing feats,4,0
Hog-eye,0,0
"Hola, amigos!",1,1
"Hola, Cangrejito!",0,1
"Hola, Hombre Mosca",16,1
Hola! yo soy-- Otto Terremoto,5,0
Hold my hand,3,1
Holes,33,1
The holes in your nose,4,0
Holgazán,2,2
Holiday mischief,0,0
Holiday paper projects,9,1
Holiday stew,9,0
Holidays and celebrations,0,0
Holidays of the world cookbook for students,3,0
The Hollow Boy,2,0
Holly the Christmas fairy,114,4
The Holocaust,3,0
The Holocaust heroes,0,0
Holy enchilada!,0,0
Hombre Mosca contra el matamoscas!,20,0
Hombre Mosca Frankenmosca,23,1
Hombre mosca presenta : dinosaurios,11,0
Hombre Mosca y los extraterrestrezz,9,2
Hombre Perro,46,4
Hombre Perro : atrapa 22,45,11
Hombre Perro. Churre y castigo,33,7
Hombre perro. Cumbres maternales,14,3
Hombre Perro : el senor de las pulgas,26,6
Hombre Perro. Historia de dos gatitos,58,4
Hombre Perro. La pelea de la selva,28,2
Hombre Perro. Por quién rueda la pelota,23,5
Hombre Perro se desata,37,12
Hombre Perro y Supergatito,58,7
Home,0,0
Home crafts,2,0
The Home Depot. Big book of tools,5,0
A home for Bird,6,0
Home is in between,13,1
Home of the brave,0,0
Home of the brave,1,0
Home on the range : John A. Lomax and his cowboy songs,4,0
"Home, stinky home",22,0
Homeless bird,1,0
Homer,2,0
Homer,14,0
Homer Price,2,0
Homes,8,0
Homes in many cultures,8,2
Homes in space,1,0
Homes of the West,0,0
The homework machine,71,0
The homework machine,84,2
Honest Abe,2,0
The honest truth,88,4
Honey-- honey-- lion! : a story from Africa,2,1
Honeybee : the busy life of Apis mellifera,2,1
Honeybees at home,3,0
Honk!,0,0
Honrando a los héroes,2,0
Honus & me : a baseball card adventure,0,0
Hoodwinked,0,0
Hoofbeats of danger,1,0
Hooky,6,3
Hooky. Volume 2,7,0
Ho'onani : hula warrior,3,1
Hoop genius : how a desperate teacher and a rowdy gym class invented basketball,7,1
Hoop rat,64,0
Hoop stars,2,0
Hooper Humperdink ... ? Not him!,4,0
Hoops,0,0
Hooray for Amanda & her alligator!,17,0
Hooray for Anna Hibiscus!,5,0
Hooray for Diffendoofer Day!,8,1
Hooray for fish,20,0
Hooray for Fly Guy!,56,2
Hooray for Grandparents' Day!,0,0
Hooray for the Golly sisters!,1,0
"Hooray for you : a celebration of ""you-ness""",7,0
Hoot,10,0
"Hoot Owl, master of disguise",5,0
Hooway for Wodney Wat,0,0
Hop on Pop,67,1
Hop! plop,18,1
Hope's gift,2,1
The Hopi,0,0
Hopscotch around the world,2,2
La hora de los Juegos Olímpicos,2,0
Horace,0,0
Horace and Morris but mostly Dolores,0,0
Horace and Morris join the chorus (but what about Dolores?),0,0
Horizons : poems as far as the eye can see,0,0
The Hork-Bajir Chronicles,6,0
"The horned dinosaur, Triceratops",15,0
Horrible bear!,9,2
Horrible Harry and the ant invasion,3,0
Horrible Harry and the Christmas surprise,9,0
Horrible Harry and the dungeon,2,0
Horrible Harry and the green slime,7,2
Horrible Harry and the holidaze.,4,0
Horrible Harry and the locked closet,1,0
Horrible Harry and the mud gremlins.,4,0
Horrible Harry in room 2B,5,0
Horrible Harry's secret,8,1
The horror at Camp Jellyjam,4,0
Horror at the haunted house,8,0
Horse,11,0
H.O.R.S.E. : a game of basketball and imagination,34,0
The horse and his boy,0,0
Horse heroes : true stories of amazing horses,11,0
Horse in danger,1,0
A horse named Seabiscuit,0,0
Horsefly and Honeybee,12,0
Horses,1,0
Horses,8,0
Horses,16,1
Horses,33,1
Horses & ponies,19,0
The horseshoe crab,7,0
Horton escucha a Quién!,4,0
Horton hatches the egg,12,0
Horton hears a Who!,7,1
Hospital,5,0
The hostile hospital,14,0
A hot day,4,0
Hot dog,4,0
Hot Dog and Bob and the particularly pesky attack of the Pencil People,4,0
Hot Dog and Bob and the seriously scary attack of the evil alien pizza person : adventure #1,3,0
"Hot, hot roti for Dada-ji",22,0
Hotel Bruce,18,1
Hotter than a hot dog!,10,0
"Hottest, coldest, highest, deepest",0,0
Houdini : world's greatest mystery man and escape king,2,0
Hound at the hospital,3,0
The hound of Rowan,4,0
Hounds on the trail,0,0
Hour of the bees,0,0
Hour of the Olympics,32,0
The house at Pooh Corner,1,0
A house for Hermit Crab,5,2
"House, house",0,0
The house in the night,8,0
A house is a house for me,1,0
"House mouse, Senate mouse",4,0
The house of a million pets,5,0
The house of Dies Drear,1,0
The House of Hades,41,0
The house of the scorpion,9,1
The house on the gulf,3,0
The house that Lou built,5,0
Houseboat mystery,0,0
Houses and homes,0,0
Houses of wood : Native dwellings : the Northwest coast,1,0
"Houses : structures, methods, and ways of living",1,0
The houses the Indians built,2,0
Houston Oilers,3,0
How a book is made,1,0
How a plant grows,0,0
How a seed grows,5,0
How Angel Peterson got his name : and other outrageous tales about extreme sports,2,0
How animals work,34,0
How are you? = Cómo estás?,13,3
How are you peeling? : foods with moods,16,1
How Ben Franklin stole the lightning,0,0
How big is a foot?,2,0
How big is a foot?,8,0
How children lived,2,0
How Chipmunk got tiny feet : Native American animal origin stories,2,1
How did that get in my lunchbox? : the story of food,5,0
How dinosaurs lived,12,0
How do aircraft fly?,13,0
How do birds find their way?,0,0
How do cell phones work?,2,0
How do dinosaurs choose their pets?,5,1
How do dinosaurs get well soon?,6,0
How do dinosaurs go to school?,10,0
How do dinosaurs say good night?,12,0
How do dinosaurs say I'm mad?,8,0
How do dinosaurs stay friends?,2,0
How do hot air balloons work?,3,0
How do hybrid cars work?,10,0
How do I use a dictionary?,0,0
How do I use a thesaurus?,0,0
How do islands form?,7,0
How do jets work?,15,1
How do plants get food?,2,0
How do solar panels work?,1,0
How do we elect our leaders?,4,0
How do we think?,4,0
How do you draw dinosaurs?,1,0
How do you know? Collect the data,0,0
How do you lift a walrus with one hand : more profound answers to preposterous questions,0,0
How does a ship float?,7,0
How does a spacecraft reach the moon?,5,0
How does it move?,3,1
How Droofus the dragon lost his head,4,0
How engineers find solutions,3,0
How Georgie Radbourn saved baseball,0,0
How I became a pirate,8,2
How I captured a dinosaur,8,0
How I celebrate,5,0
How I learned geography,0,0
How I learned to fly,24,0
How I spent my summer vacation,1,1
How I survived being a girl,1,0
How I survived the Oregon Trail : the journal of Jesse Adams,3,0
How many days to America?,8,7
How many donkeys : an Arabic counting tale,4,0
How many feet in the bed?,7,0
How many jelly beans?,35,1
How many seeds in a pumpkin?,13,2
How many snails : a counting book,5,0
How many spots does a leopard have? and other tales,1,0
How many teeth?,1,0
How Martha saved her parents from green beans,33,2
How mountains are made,2,0
How much is that guinea pig in the window,3,0
How my parents learned to eat,2,0
How night came from the sea : a story from Brazil,14,1
How not to babysit your brother,9,0
How old is Mr. Tortoise?,4,0
How Raggedy Ann got her candy heart,15,0
How Rocket learned to read,88,2
How science works,9,0
How Smudge came,1,0
How speedy is a cheetah : fascinating facts about animals,0,0
"How tall, how short, how faraway",3,0
How the future began : communications,4,0
How the future began : machines,2,0
How the Grinch stole Christmas,15,0
How the Manx cat lost its tail,3,0
"How? : the most awesome question and answer book about nature, animals, people, places--and you!",7,1
How the ostrich got its long neck : a tale from the Akamba of Kenya,7,0
How the reindeer saved Santa,4,0
How the rooster saved the day,2,0
"How the second grade got $8,205.50 to visit the Statue of Liberty",0,1
How the weather works,6,0
How they croaked : the awful ends of the awfully famous,5,0
How Tia Lola came to visit stay,8,0
How to be a rock star,1,0
How to break a dragon's heart : the heroic misadventures of Hiccup the Viking,5,0
How to build a hug : Temple Grandin and her amazing squeeze machine,3,0
How to build your own country,2,0
How to catch a bogle,3,0
How to code a rollercoaster,4,0
How to Develop a Professional Learning Community Passion and Persistence,1,0
How to die of embarrassment every day,3,0
How to dig a hole to the other side of the world,0,1
How to disappear completely and never be found,1,0
How to dork your diary,75,0
How to draw animals,5,0
"How to draw boats, trains & planes.",0,0
How to draw cartoons and caricatures,1,0
How to draw cats and kittens,6,0
How to draw cool wheels.,12,0
How to draw cute animals,1,0
How to draw dinosaurs,5,0
How to draw endangered animals,15,0
How to draw : graphic novels.,5,0
How to draw insects,10,1
How to draw lettering,6,0
How to draw Pokémon,46,3
How to draw : speed machines.,29,0
How to draw the newest Pokemon : featuring Sinnoh characters,16,0
How to draw Washington's sights and symbols,13,0
How to draw wild animals.,1,0
"How to draw your own story : the dragon, the knight, and the princess",5,0
How to eat fried worms,4,0
How to eat your ABC's : A book about vitamins,2,0
"How to find lost treasure in all fifty states and Canada, too!",0,0
"How to get rich on the Oregon trail : my adventures among cows, crooks & heroes on the road to fame and fortune",15,0
How to hold a crocodile,1,1
How to hug a pufferfish,4,0
How to kill a monster,28,0
How to lose all your friends,5,0
How to make a better world : for every kid who wants to make a difference,0,0
How to make an apple pie and see the world,9,1
How to make and fly paper planes,60,1
How to make friends with a giant,2,0
How to make pop-ups,20,0
How to make super pop-ups,13,1
How to prevent monster attacks,1,0
How to read a book,9,1
How to read a story,1,0
How to steal a dog : a novel,19,0
How to swallow a pig : step-by-step advice from the animal kingdom,1,0
How to talk so kids can learn-- at home and in school,0,0
How to talk to your dog,6,0
How to teach a slug to read,13,0
How to test a friendship,0,0
How to train your dragon : the heroic misadventures of Hiccup the viking,13,0
How to wear a sari,10,1
How to write your life story,1,0
How we are smart,1,0
"How We Got to the Moon : the people, technology, and daring feats of science behind humanity's greatest adventure",0,0
How we travel,12,1
How your body works,23,0
Howard,0,0
Howl at the moon,15,0
Howliday Inn,1,0
Howling on the playground,78,4
How's the weather : a look at weather and how it changes,6,0
Hoy volaré!,83,3
Hudson and Tallulah take sides,12,1
Huevos verdes con jamon,5,1
The Hueys in The new sweater,15,0
Huge Harold.,1,0
Hugo no puede dormir,2,0
Hugo Pepper,0,0
The human body,0,0
The human body,0,0
The human body,0,0
Human body.,1,0
The human body,1,0
Human body,2,0
Human body,3,0
Human body,3,0
Human body,3,0
The human body,3,0
The human body,3,0
Human Body,4,0
The human body,4,0
Human body,5,0
Human body,7,0
The human body,8,0
The human body,10,0
The human body & how it works,0,0
The human head,2,0
The human skeleton,8,0
Hummingbirds,2,0
Hummingbirds,5,2
Hummingbirds : jewels in the sky,2,2
Humpback whales,28,1
The hunchback of Notre Dame,1,0
Hungry cockroaches,10,0
"Hungry, hungry sharks",7,0
"A hungry lion, or, a dwindling assortment of animals",4,0
Hungry little snake,3,0
The hungry thing returns,0,0
Hunt! : can you survive the stone age?,2,0
The hunt for the curious cheese,31,0
The hunterman and the crocodile : a West African folktale,1,0
Hunting for hidden gold,0,0
Hunting sharks,29,2
Hunting the dinosaurs,1,0
Los huracanes : el poder de la tierra,5,0
Hurricane,0,0
"Hurricane Katrina, 2005",0,0
Hurricanes,8,0
Hurricanes,8,0
Hurricanes!,10,1
Hurricanes,21,0
Hurry up and slow down,8,0
"Hurry up, Houdini!",37,0
Hush : a Thai lullaby,0,0
Hush up and hibernate!,2,0
Hydroponic hijinks,3,0
I ain't gonna paint no more!,2,1
I am a book,1,0
I am a dancer,2,0
I am a lion! = Yo soy un león!,20,1
I am Abraham Lincoln,2,0
I am Albert Einstein,1,0
I am Amelia Earhart,3,0
I am an American : the Wong Kim Ark story,0,0
I am Billie Jean King,4,0
I am every good thing,5,1
I am eyes : ni macho,0,0
I am farmer : growing an environmental movement in Cameroon,0,0
I am Gandhi,4,0
I am Gandhi,5,0
I am George Washington,5,0
I am going!,277,13
I am golden,0,0
I am Harriet Tubman,7,0
I am Helen Keller,8,0
I am I,3,0
I am invited to a party!,144,8
I am Jackie Robinson,10,1
I am Jane Goodall,38,1
I am Jim Henson,7,0
I am Lebron James,6,0
I am love : a book of compassion,0,0
I am Lucille Ball,10,0
I am Malala : how one girl stood up for education and changed the world,12,0
"I am Martin Luther King, Jr.",16,0
I am Neil Armstrong,5,0
I am not a number,1,0
I am not a penguin : a pangolin's lament,1,0
I am not going to get up today!,59,2
I am (not) scared,11,1
I am peace : a book of mindfulness,3,0
I am really a princess,3,0
I am Rosa Parks,15,0
I am Sacagawea,2,0
I am six,0,0
I am smoke,0,0
I am Sonia Sotomayor,3,0
I am the book : poems,3,0
I am the subway,2,1
I am too absolutely small for school,1,2
I am water,5,0
I broke my trunk!,303,14
I can crayon,7,0
I can cut and stick,13,0
I can draw animals,15,0
I can draw animals,20,0
I can draw dinosaurs,7,0
I can draw magical creatures.,19,0
I can draw people,14,0
I can draw sharks and whales,7,0
I can lick 30 tigers today! : and other stories,2,0
I can make puppets,0,0
I can make this promise,25,1
I can read with my eyes shut!,81,2
I can't feel my feet,4,0
I color myself different,2,0
"I did it, I'm sorry",9,0
I didn't do it,11,0
I don't want to be a frog,26,0
I don't want to go back to school,0,0
I eat a rainbow = Me como un arco iris,0,0
I even funnier : a middle school story,21,0
I feel better with a frog in my throat : history's strangest cures,22,0
"I, fly : the buzz about flies and how awesome they are",4,0
I funny,23,0
I funny : school of laughs,2,0
I funny TV : a middle school story,6,0
I got a chicken for my birthday,1,1
I had trouble in getting to Solla Sollew.,1,0
I hate English!,2,2
I hate rules!,3,0
I have a dream,6,0
"I have a dream : the life and words of Martin Luther King, Jr",1,0
I have an olive tree,1,2
I have feelings = Tengo sentimientos,0,0
I know an old lady who swallowed a fly,2,0
I know karate,4,0
I left my sneakers in Dimension X,0,0
I like books,3,0
I like cars,35,0
"I lost my tooth! (Unlimited squirrels, 1)",11,0
I love Korea!,3,0
I love my hair!,0,0
I love my new toy!,0,0
I love my new toy!,286,10
I love my white shoes,4,0
I love my white shoes,9,0
I love our Earth = amo nuestra tierra,1,0
I love Saturdays y domingos,10,0
I love you because I love you,0,0
"I, Matthew Henson : polar explorer",2,1
I met a man.,0,0
I must have Bobo!,10,0
I need a hug = Necesito un abrazo,1,0
I need my monster,99,1
I really like slop!,104,10
I remember : poems and pictures of heritage,2,0
I represent Sean Rosen,6,0
"I scream, ice cream! : a book of wordles?",9,0
I see the sun in Russia,1,0
I spy : a book of picture riddles,33,1
I spy a freight train : transportation in art,0,0
I spy : an alphabet in art,8,0
I spy Christmas : a book of picture riddles,26,1
I spy extreme challenger! : a book of picture riddles,30,1
I spy fantasy : a book of picture riddles,32,0
I spy Fly Guy!,70,1
I spy gold challenger! : a book of picture riddles,16,0
I spy treasure hunt : a book of picture riddles,11,1
I stink!,12,0
"I survived Hurricane Katrina, 2005",38,1
"I Survived the Attacks of September 11, 2001",10,0
"I survived the Battle of Gettysburg, 1863",21,0
"I Survived: The bombing of Pearl Harbor, 1941",19,0
"I Survived the Destruction of Pompeii, AD 79",25,0
"I Survived the Eruption of Mount St. Helens, 1980",12,0
"I Survived the Great Chicago Fire, 1871",27,0
"I survived the great molasses flood, 1919",1,0
"I survived the Hindenburg disaster, 1937",14,0
"I survived the Japanese Tsunami, 2011",35,0
"I Survived the Joplin Tornado, 2011",25,0
"I Survived the Nazi invasion, 1944",41,1
"I Survived the San Francisco Earthquake, 1906",37,0
I survived the shark attacks of 1916,0,0
I Survived: The shark attacks of 1916,10,0
"I survived the sinking of the Titanic, 1912",1,0
"I Survived The sinking of the Titanic, 1912",29,0
I survived true stories : nature attacks!,12,0
"I thought my soul would rise and fly : the diary of Patsy, a freed girl",3,1
I took my frog to the library,5,2
I totally funniest : a middle school story,17,0
I wanna iguana,22,2
I want a cat,16,1
I want a dog,38,2
I want a hamster,60,1
I want my hat back,17,0
I want that nut!,1,0
I want to be a ballerina,13,0
I want to know about a flight to the moon,0,0
I was a rat!,3,0
I was a second grade werewolf,1,0
I was a sixth grade alien,0,0
I was all thumbs,0,0
I went walking,0,0
I will chomp you!,8,0
I will dance,6,0
I will never get a star on Mrs. Benson's blackboard,5,0
I will not read this book,17,0
I will surprise my friend!,175,9
I will take a nap!,90,1
I wish I knew that : math : cool stuff you need to know,28,0
I wish that I had duck feet,20,0
I wonder why caterpillars eat so much and other questions about life cycles,7,0
I wonder why planes have wings and other questions about transportation,15,0
I won't give up my rubber band,1,0
Ian Fleming's Chitty Chitty Bang Bang.,5,0
Ibis : a true whale story,0,0
Ice Boy,1,0
Ice caps & glaciers,13,0
The ice-cream cone coot : and other rare birds.,0,0
The ice cream scoop,0,0
Ice cream soup,0,0
The ice dragon,0,0
Ice drift,4,0
Icefire,8,0
Ichiro Suzuki,2,0
Ichthyosaurus : the fish lizard,29,0
"Ida B-- : and her plans to maximize fun, avoid disaster, and (possibly) save the world",12,0
Idaho,6,0
Idaho,9,1
Ideas are all around,2,0
"Las ideas de Ada : la historia Ada Lovelace, la primera programadora informática del mundo",0,0
Iditarod dream : Dusty and his sled dogs compete in Alaska's Jr. Iditarod,1,0
Iditarod dreams : a year in the life of Alaskan sled dog racer DeeDee Jonrowe,0,0
If a bus could talk : the story of Rosa Parks,10,1
If America were a village : a book about the people of the United States,1,1
If I owned a candy factory,0,0
If I ran the circus,7,0
If I ran the zoo,4,0
If I were a ballerina,24,0
If I were a cricket ...,0,0
If I were a firefighter,9,0
If I were a major league baseball player,3,0
If I were a movie star,6,0
If I were a veterinarian,9,0
If I were an astronaut,0,0
If I were in charge of the world and other worries : poems for children and their parents,0,0
If I were the president,3,0
If not for the cat : haiku,2,0
If the dinosaurs came back,10,1
If the shoe fits,31,0
If the shoe fits : voices from Cinderella,11,0
If the world were a village : a book about the world's people,2,0
If you decide to go to the moon,8,0
"If you ever want to bring a circus to the library, don't!",9,1
"If you ever want to bring a piano to the beach, don't!",4,0
"If you ever want to bring an alligator to school, dont!",17,0
If you give a cat a cupcake,38,3
If you give a moose a muffin,78,2
If You Give a Mouse a Cookie,31,1
If you give a pig a pancake,76,1
If you give a pig a party,54,2
If you happen to have a dinosaur,18,1
... If you lived at the time of the Civil War,1,0
--If you lived in Colonial times,4,0
--If you lived with the Indians of the Northwest Coast,3,0
If you plant a seed,13,0
If you take a mouse to school,38,1
If you take a pencil,0,0
If you want to see a whale,5,0
If you were a penguin,32,0
If you were born a kitten,7,0
If you were the moon,2,0
If you were there in 1776,1,0
If you're happy and you know it!,12,1
"If you're reading this, it's too late",20,0
Iggie's house,5,0
"Iggy Peck, architect",1,0
Iggy the legend,0,0
Ignatius MacFarland : Frequenaut!,0,0
Igneous rocks,5,0
Igraine the brave,12,0
The iguana brothers : a tale of two lizards,16,1
Iguanas,38,0
Iguanas in the snow and other winter poems,2,0
Iguanodon : the iguana tooth,32,0
I'll fix Anthony,4,0
I'll save you Bobo!,9,0
"I'll wait, Mr. Panda = Yo voy a esperar, Sr. Panda",29,1
Illinois,6,0
Illinois,13,0
"The illuminating world of light with Max Axiom, super scientist",22,0
Illuminations,0,0
The illustrated book of ballet stories,15,0
The illustrated rules of football,2,0
"El iluminante mundo de la luz con Max Axiom, supercientífico",15,2
I'm a frog!,241,10
I'm a seed,1,0
"I'm a tiger, too!",19,1
I'm an immigrant too!,7,1
I'm dirty!,14,2
I'm hungry! ; ¡Tengo hambre!,7,1
I'm in charge of celebrations,0,0
I'm new here,16,0
I'm not a supermouse!,122,0
"""I'm not cute!""",22,0
I'm not scared!,8,1
I'm not who you think I am,1,0
I'm Ok,8,1
I'm sad,3,0
I'm sorry,2,1
I'm still here in the bathtub : brand new silly dilly songs,1,0
I'm still scared,0,0
I'm the best!,0,0
I'm the scariest thing in the jungle!,7,2
I'm too fond of my fur!,57,0
I'm trying to love spiders : (it isn't easy.),18,0
I'm worried,0,0
I'm your peanut butter big brother,10,2
Imani's gift at Kwanzaa,0,0
Immi's gift,37,0
Imogene's last stand,17,2
The imp that ate my homework,0,0
"El impactante mundo de la electricidad con Max Axiom, supercientífico",29,0
Implementing RTI with English learners,2,0
The important book,5,1
The impossible crime,23,0
Impossible inventions : ideas that shouldn't work,0,0
Impossible victory : the Battle of Stalingrad,4,0
Impressionism,4,0
Improve your chess,20,0
Improve your survival skills,1,0
In a blue room,0,0
"In a dark, dark room : and other scary stories",4,0
In a glass Grimmly : companion to A tale dark & Grimm,7,0
In a people house,15,1
In Daddy's arms I am tall : African Americans celebrating fathers,1,0
In her hands : the story of sculptor Augusta Savage,0,0
In-line skating basics,0,0
In my family,0,1
"In one tidepool : crabs, snails and salty tails",0,0
In search of sasquatch,17,0
In search of the Grand Canyon,0,0
In the bathroom,4,0
In the desert,3,0
In the dinosaur's paw,2,0
In the Ice Age,6,0
In the ice caves of Krog,9,0
In the land of words : new and selected poems,4,0
In the middle of fall,0,0
In the ring with Sting,1,0
"In the small, small night",3,1
"In the small, small pond",3,1
In the swim : poems and paintings,0,0
In the time of knights : the real-life history of history's greatest knight,0,0
In the time of Michelangelo : the Renaissance period,1,0
In the witch's kitchen : poems for Halloween,0,0
In too deep,52,0
Inca town,0,0
Inch by inch.,0,0
Inch by inch : the garden song,0,0
Inclined planes in my makerspace,0,0
An inconvenient truth : the crisis of global warming,23,0
The incredible book eating boy,3,0
Incredible castles and knights,1,0
Incredible earth,8,0
Incredible great hunters,1,0
The incredible journey,0,0
The incredible journey of Lewis and Clark,1,0
Incredible plants,4,0
Incredible rescue mission,0,0
Incredible sharks,24,0
Incredible skeleton secrets,0,0
"Independence now : the American Revolution, 1763-1783",1,0
India,0,0
India,4,1
India,7,1
India,13,2
India : the culture,11,0
India : the land,7,0
India : the people,8,0
Indian Island animation,0,0
Indian No More,7,2
Indian tales : a barefoot collection,2,0
An Indian winter,0,0
Indiana,6,0
Indiana,15,0
Indiana Jones explores ancient Egypt,5,0
Indonesia,0,0
Indy : the great American race,0,0
The infamous Ratsos,36,0
The infamous Ratsos are not afraid,6,0
The infamous Ratsos : project fluffy,0,0
Infinity and me,1,0
Ingri and Edgar Parin D'Aulaire's Book of Greek myths.,9,0
Inheritance,10,0
The ink drinker,0,0
Inkdeath,7,0
Inkheart,8,1
Inkling,0,0
Inkspell,12,0
Inky the indigo fairy,35,1
Inky's amazing escape : how a very smart octopus found his way home,8,1
Inline skating,3,0
"The inquisitor's tale, or, The three magical children and their holy dog",0,0
Insect,0,0
Insect,10,0
Insect metamorphosis : from egg to adult,5,0
Insectlopedia : poems and paintings,0,0
Los insectos,2,0
Los insectos en movimiento,1,0
Insectos y otras criaturas,22,0
Insects,0,0
Insects,0,0
Insects,0,0
Insects,4,1
Insects,4,1
Insects,5,0
Insects 2,3,1
Insects and other invertebrates,0,0
Insects : biggest! littlest!,3,0
Insects do the strangest things,0,0
Insects in the garden,0,0
Inside dinosaurs and other prehistoric creatures,30,0
Inside out & back again,41,1
"Inside, outside, upside down",26,0
The inside story,11,0
Inside the amazing Amazon,2,0
Inside the whale and other animals,7,0
The insiders,4,2
Inspector Hopper,5,0
Inspector Hopper's mystery year,19,0
"Inspirations : stories about women artists : Georgia O'Keeffe, Frida Kahlo, Alice Neel, Faith Ringgold",0,0
"Instant paper toys : to pop, spin, whirl & fly",13,0
The Internet,3,0
